\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   136.9269165  4.3271975e-05  
 0   136.9473509  -2.2757034e-04 
 0   136.9677854  -3.7571043e-04 
 0   136.9882198  -9.0976922e-05 
 0   137.0086541  -8.2024251e-04 
 0   137.0290885  4.8797062e-04  
 0   137.0495230  1.7241570e-04  
 0   137.0699573  1.2376871e-06  
 0   137.0903917  -1.2739081e-04 
 0   137.1108262  8.4624495e-05  
 0   137.1312605  2.9791423e-04  
 0   137.1516949  -2.9076278e-04 
 0   137.1721293  3.6365007e-05  
 0   137.1925638  -2.6349732e-04 
 0   137.2129981  -7.6766347e-04 
 0   137.2334325  2.5228161e-04  
 0   137.2538669  -2.6166160e-04 
 0   137.2743014  5.9883413e-04  
 0   137.2947358  -1.7926030e-04 
 0   137.3151701  8.0278108e-04  
 0   137.3356046  5.0994765e-04  
 0   137.3560390  -4.1182994e-04 
 0   137.3969077  4.3517564e-04  
 0   137.4173422  1.7797097e-04  
 0   137.4377766  -6.1139173e-04 
 0   137.4582109  -4.5629777e-04 
 0   137.4786454  3.0802583e-04  
 0   137.4990798  7.6072384e-04  
 0   137.5195141  -5.9331517e-04 
 0   137.5399485  -2.3787297e-06 
 0   137.5603830  -5.8537518e-04 
 0   137.5808174  1.4838400e-04  
 0   137.6012518  -5.5542309e-04 
 0   137.6216863  -3.2449648e-04 
 0   137.6421207  1.1409289e-04  
 0   137.6625550  -2.4813603e-04 
 0   137.6829894  -5.6487811e-04 
 0   137.7034239  4.7397372e-04  
 0   137.7238582  8.2448016e-05  
 0   137.7442926  2.5768686e-04  
 0   137.7647271  2.6247857e-04  
 0   137.7851614  -2.7031219e-04 
 0   137.8055958  -3.1271813e-04 
 0   137.8260301  -9.7585951e-05 
 0   137.8464646  3.3710647e-04  
 0   137.8668990  7.5272209e-04  
 0   137.8873334  -7.8637217e-04 
 0   137.9077677  -9.8549470e-04 
 0   137.9282023  -3.3417079e-04 
 0   137.9486367  4.1052920e-04  
 0   137.9690710  3.2635467e-04  
 0   137.9895055  -4.0426556e-04 
 0   138.0099399  -2.2899218e-04 
 0   138.0303742  2.6735314e-04  
 0   138.0508086  6.5648207e-04  
 0   138.0712431  -4.4153826e-04 
 0   138.0916775  -8.4820611e-04 
 0   138.1121118  3.6129073e-04  
 0   138.1325463  6.9858728e-04  
 0   138.1529807  1.9930968e-04  
