\fixlen = T
|set|TIME        |LC_DETREND    |
|int|double      |double        |
 0   133.0445795  1.4061622e-05  
 0   133.0650140  1.8526927e-04  
 0   133.0854485  -1.2924179e-04 
 0   133.1058829  -5.3827054e-09 
 0   133.1263174  -1.7980213e-04 
 0   133.1467519  1.9846493e-04  
 0   133.1671864  8.3169936e-05  
 0   133.1876208  1.8745307e-04  
 0   133.2080554  -1.0048361e-04 
 0   133.2284898  1.2383921e-04  
 0   133.2489242  -6.4569300e-05 
 0   133.2693587  -5.6599092e-05 
 0   133.2897932  -7.0021728e-05 
 0   133.3102276  1.6524039e-04  
 0   133.3306620  2.1031266e-04  
 0   133.3510966  1.5055889e-04  
 0   133.3715311  6.6268208e-06  
 0   133.3919655  -5.1903960e-05 
 0   133.4124000  -2.0920059e-04 
 0   133.4328345  -4.1059416e-06 
 0   133.4532689  7.3515199e-05  
 0   133.4737033  1.3392008e-04  
 0   133.4941379  5.1782408e-05  
 0   133.5145723  -1.2898403e-04 
 0   133.5350067  -3.3423491e-04 
 0   133.5554413  -1.6919320e-04 
 0   133.5758757  2.8617023e-05  
 0   133.5963101  2.0029367e-05  
 0   133.6167446  -8.2912346e-05 
 0   133.6371792  6.6119566e-05  
 0   133.6576136  -8.9827248e-05 
 0   133.6780480  -2.0862775e-05 
 0   133.6984826  -1.8027736e-04 
 0   133.7189170  -1.4328990e-04 
 0   133.7393514  -1.4012544e-04 
 0   133.7597859  1.5188099e-04  
 0   133.7802204  -6.2394283e-05 
 0   133.8006548  6.4636355e-05  
 0   133.8210893  3.3943019e-05  
 0   133.8415237  -9.4975017e-05 
 0   133.8619582  4.9648038e-06  
 0   133.8823927  1.3609907e-04  
 0   133.9028271  2.2133911e-05  
 0   133.9232616  -1.7027332e-05 
 0   133.9436961  1.1096982e-04  
 0   133.9641306  -4.8338188e-05 
 0   133.9845649  9.0515859e-05  
 0   134.0049995  -6.4037951e-05 
 0   134.0254340  -4.4473180e-07 
 0   134.0458683  -1.3975675e-04 
 0   134.0663029  -3.0791500e-06 
 0   134.0867374  2.2259433e-04  
 0   134.1071717  -1.7675986e-04 
 0   134.1276062  -1.5546320e-04 
 0   134.1480408  6.7376037e-05  
 0   134.1684752  -1.1724105e-04 
 0   134.1889096  4.4191704e-04  
